 , C00, C02, C04, C07, C14, C16, C17, C21, C26, C29
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
2497.794806399699, 0.09908386, 0.05156444, 2.093193, 0.0004290632, 2.294806e-20, 0.4624915, 0.2206704, 3.132707e-21, 3.010402, 0.02011807
2497.894768993661, 0.09156197, 0.04739785, 2.572364, 0.0003994356, 2.141764e-20, 0.4393471, 0.20664, 2.973861e-21, 2.853885, 0.01915119
2497.994731587622, 0.0846111, 0.04356793, 2.419403, 0.0003718539, 1.998928e-20, 0.4173608, 0.1935018, 2.823069e-21, 2.705505, 0.01823079
2498.094694181584, 0.0781879, 0.04004748, 2.275537, 0.0003461767, 1.865618e-20, 0.3964748, 0.1811988, 2.679924e-21, 2.56484, 0.01735462
2498.194656775545, 0.07225231, 0.03681149, 2.140226, 0.0003222726, 1.741199e-20, 0.4645089, 0.1696781, 2.544037e-21, 2.431488, 0.01652056
2498.294619369507, 0.06676732, 0.03383699, 2.012961, 0.0003000191, 1.625078e-20, 0.4412635, 0.1588898, 2.415039e-21, 2.305069, 0.01572658
2498.394581963468, 0.06169872, 0.03110284, 1.893263, 0.0002793022, 1.5167e-20, 0.4191813, 0.1487875, 2.292583e-21, 2.185224, 0.01497077
2498.49454455743, 0.0570149, 0.02858961, 1.780683, 0.0002600159, 1.41555e-20, 1.300395, 0.1393275, 2.176336e-21, 2.071609, 0.01425127
2498.594507151392, 0.05268665, 0.02627947, 1.674798, 0.0002420613, 1.321147e-20, 1.481287, 0.130469, 2.065984e-21, 1.963902, 0.01356636
2498.694469745353, 0.04868698, 0.02415599, 1.575209, 0.0002253466, 1.233038e-20, 1.60005, 0.1221737, 1.961226e-21, 1.861794, 0.01291436
2498.794432339314, 0.04499093, 0.02220409, 1.481542, 0.000209786, 1.150806e-20, 1.519979, 0.1144058, 1.861781e-21, 1.764995, 0.0122937
