 , C00, C01, C06, C13, C18, C24
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted
26.59002998695077, 1.154902, 0.779501, 4.583911, 8.243461, 10.1945, 12.5935
26.68999250569871, 1.09934, 0.7283102, 4.231019, 7.850582, 9.739314, 14.21932
26.78995502444665, 1.046451, 0.6804813, 3.905295, 7.88576, 9.304455, 13.49113
26.88991754319458, 0.9961073, 0.6357933, 3.604647, 7.509929, 11.57178, 14.85865
26.98988006194252, 0.9481851, 0.59404, 3.327144, 7.15201, 11.0551, 14.09772
27.08984258069045, 0.9025685, 0.5550287, 3.071004, 6.811149, 10.56149, 15.13781
27.18980509943839, 0.8591464, 0.5185793, 2.834584, 6.701617, 10.08992, 14.36258
27.28976761818632, 0.8178134, 0.4845236, 2.616364, 6.707476, 10.14739, 16.85824
27.38973013693426, 0.7784688, 0.4527044, 2.414943, 6.387802, 11.48361, 15.9949
27.48969265568219, 0.7410172, 0.4229748, 3.324733, 6.083363, 10.97087, 15.81056
27.58965517443013, 0.7053673, 0.3951975, 3.325536, 5.793433, 10.48102, 15.86487
27.68961769317806, 0.6714325, 0.3692445, 3.317978, 5.517321, 10.01305, 15.75402
27.789580211926, 0.6391303, 1.68833, 3.062544, 5.981981, 9.565964, 16.23478
27.88954273067393, 0.6083821, 1.675408, 2.826774, 5.696883, 9.138844, 16.03182
27.98950524942187, 0.5791132, 1.565382, 2.609156, 6.375199, 8.730795, 15.21081
28.0894677681698, 0.5512524, 1.462582, 2.40829, 6.07136, 10.76545, 14.43184
28.18943028691774, 0.5247319, 1.366532, 2.222888, 5.782002, 10.28477, 15.95094
28.28939280566567, 0.4994874, 1.27679, 2.858728, 5.506435, 10.12821, 15.9737
28.38935532441361, 0.4754573, 1.192942, 3.892354, 5.244002, 9.675987, 15.69853
28.48931784316155, 0.4525834, 1.1146, 3.592702, 4.994076, 9.243955, 18.70528
28.58928036190948, 0.6974506, 1.041403, 3.316118, 4.756061, 9.880269, 18.26056
28.68924288065742, 0.6638967, 0.9730132, 3.060828, 4.529389, 10.5651, 17.32541
28.78920539940535, 0.6882471, 0.9091143, 2.825191, 4.313521, 10.09337, 16.43815
28.88916791815329, 0.6551359, 0.8494117, 3.06426, 4.107941, 9.642699, 15.59633
28.98913043690122, 0.6236178, 0.7936299, 2.828358, 3.912158, 9.511672, 18.289
29.08909295564916, 0.5936158, 1.097908, 2.610618, 3.725707, 9.086977, 17.35239
29.18905547439709, 0.5650573, 1.025807, 2.40964, 3.548142, 8.681245, 16.46375
29.28901799314503, 0.5378727, 0.9584414, 2.224134, 3.37904, 8.86787, 18.54232
29.38898051189296, 1.262575, 0.8954995, 2.375693, 4.250963, 8.727899, 19.11554
29.4889430306409, 1.201833, 0.836691, 2.552987, 4.048365, 8.338199, 18.1366
29.58890554938883, 1.144014, 0.7817445, 2.356446, 4.92882, 10.20977, 17.2078
29.68886806813677, 1.088976, 0.7304064, 2.175035, 4.851377, 11.60044, 16.32656
29.7888305868847, 1.036586, 1.725085, 2.00759, 4.620163, 11.08248, 15.49046
29.88879310563264, 0.9867164, 1.611797, 2.085314, 5.383972, 10.58765, 16.91717
29.98875562438057, 0.9392461, 1.505948, 1.924777, 6.028913, 10.11491, 17.85044
30.08871814312851, 0.8940595, 1.407051, 1.975136, 5.764509, 9.66328, 18.56072
30.18868066187645, 0.8510469, 1.314648, 2.265544, 5.754848, 9.231816, 19.16367
