 , C00, C01, C02, C05, C06, C07, C08, C11, C15, C16, C20
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
2036.799010227371, 1.426172e-07, 4.404405, 0.02051219, 0.6650729, 0.07142716, 0.07002131, 0.1099072, 3.637346e-09, 0.8950822, 0.5439901, 0.8027311
2036.898934241166, 1.350039e-07, 3.920422, 0.01925248, 0.6345102, 0.06593066, 0.06619436, 0.1029231, 3.405259e-09, 0.8265972, 0.5027688, 0.7165864
2036.99885825496, 1.277971e-07, 3.489622, 0.01807013, 0.605352, 0.06085714, 0.06257657, 0.09638276, 3.18798e-09, 0.7633521, 0.4646711, 0.7005492
2037.098782268754, 1.209749e-07, 3.106161, 0.01696039, 0.5775337, 0.05617404, 0.05915651, 0.7506899, 2.984565e-09, 0.704946, 0.4294603, 0.6253701
2037.198706282548, 1.14517e-07, 2.764837, 0.0159188, 0.5509937, 0.05185131, 0.05592337, 0.7029868, 2.794129e-09, 0.6510088, 0.3969176, 0.5582588
2037.298630296342, 1.084038e-07, 8.631977, 0.01494118, 0.5362576, 0.04786123, 0.05286692, 0.658315, 2.615845e-09, 0.6011984, 0.3668408, 1.765977
2037.398554310136, 1.026169e-07, 9.687283, 0.0140236, 0.6433312, 0.04417819, 0.04997753, 0.6164819, 2.448936e-09, 0.5551992, 0.3390432, 1.576462
2037.498478323931, 9.713895e-08, 8.622785, 0.01316237, 0.6137676, 0.04077857, 0.04724606, 0.5773071, 2.292677e-09, 0.5127195, 0.3133519, 1.407284
2037.598402337725, 0.1759395, 10.7609, 0.01235403, 0.5855626, 0.03764056, 0.04466387, 0.5406217, 2.146389e-09, 0.47349, 0.2896074, 1.256262
2037.698326351519, 0.1665474, 9.835812, 0.01159534, 0.5586537, 0.03474403, 0.04222281, 0.6926298, 2.009434e-09, 0.4372621, 0.2676622, 1.845173
2037.798250365313, 0.1576566, 9.027477, 0.01088323, 0.5329814, 0.03207039, 0.03991516, 0.6486161, 1.881219e-09, 0.403806, 0.2473799, 1.647159
2037.898174379107, 0.1492405, 8.035483, 0.01021486, 0.5084888, 0.0296025, 0.03773363, 0.6073993, 1.761184e-09, 0.3729098, 0.2286344, 1.470395
