 , C00, C01, C05, C06, C11, C12, C19, C21, C26, C33, C44, C46, C57, C59, C60, C71, C73, C75
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
1083.196681188508, 9.099231, 8.058151e-05, 2.615225, 0.7598756, 5.151135, 0.004746919, 0.4020776, 4.54369, 0.7290083, 1.729597, 0.7986574, 2.076373, 0.7277243, 0.3144896, 1.031553, 8.745404, 0.1602713, 0.007917641
1083.296643968241, 8.593607, 7.571674e-05, 2.479015, 0.718051, 4.658584, 0.004391396, 0.3798918, 4.319875, 0.6910512, 1.672986, 0.7321974, 1.952935, 0.6852428, 0.298678, 0.9660856, 8.293123, 0.1495895, 0.007438516
1083.396606747974, 8.116079, 7.114566e-05, 2.349899, 0.6785285, 4.213131, 0.0040625, 0.3589302, 4.107085, 0.6550704, 1.751349, 0.6712679, 1.836834, 0.6452413, 0.2836612, 0.9047729, 9.215349, 0.1396196, 0.006988385
1083.496569527707, 7.665087, 6.685054e-05, 2.227508, 0.6411813, 3.810272, 0.09382901, 0.3391252, 3.904777, 0.620963, 1.667338, 0.6154087, 2.469599, 0.6075749, 0.2693996, 0.8473514, 9.039132, 0.7030896, 0.006565493
1083.59653230744, 8.477107, 6.281472e-05, 2.111492, 0.6058899, 3.445934, 0.08680164, 0.3204131, 3.712434, 0.5886315, 1.587356, 0.5641977, 2.535227, 0.5721073, 0.3203644, 0.7935741, 8.571661, 0.6562297, 0.006168192
1083.696495087174, 8.63057, 5.902254e-05, 2.001518, 0.5725408, 3.116435, 0.08030059, 0.3027334, 3.529566, 1.286061, 1.511212, 0.5172482, 2.741885, 0.5387101, 0.3042574, 1.147561, 8.636141, 0.612493, 0.005794933
1083.796457866907, 9.27361, 5.545931e-05, 2.559974, 0.5410274, 2.818442, 0.07428644, 0.2860292, 3.355705, 1.959292, 1.438719, 0.4742056, 2.578882, 0.5072625, 0.2889602, 1.074731, 8.18951, 6.745291, 0.005444261
1083.89642064664, 8.966534, 5.211118e-05, 3.263402, 0.5112485, 2.548943, 0.4532714, 0.2702467, 4.584748, 1.857278, 1.369705, 0.4347448, 2.42557, 0.4776507, 0.274432, 1.006523, 9.228486, 7.753265, 0.005114809
1083.996383426373, 8.468283, 4.896519e-05, 3.093433, 0.4831086, 2.305213, 0.4193234, 0.2553351, 4.358911, 2.68243, 1.304, 0.3985677, 2.281372, 0.4497675, 0.2606344, 0.9426439, 8.751222, 7.236522, 0.004805294
1084.096346206106, 8.859469, 4.600912e-05, 2.932317, 0.4565177, 2.084789, 0.387918, 0.2412463, 4.144198, 2.542764, 1.241448, 0.3654011, 2.145746, 0.423512, 0.2475304, 0.8828189, 8.29864, 6.754219, 0.004514508
1084.196308985839, 9.312488, 4.323151e-05, 3.296683, 0.4313903, 1.885442, 0.3588647, 0.2279348, 3.940062, 2.410371, 1.181896, 0.3349944, 2.018184, 0.3987892, 0.2350852, 0.8267908, 7.869464, 6.30406, 0.004241319
1084.296271765573, 9.466256, 4.062159e-05, 3.12498, 0.407646, 1.705156, 0.3319873, 0.2153579, 3.745981, 2.284871, 1.4641, 0.307118, 1.898204, 0.3755096, 0.2232658, 0.7743184, 7.462484, 5.883904, 0.003984662
1084.396234545306, 8.940237, 3.816923e-05, 3.373466, 0.3852086, 1.542109, 0.307123, 0.2034749, 3.56146, 2.165905, 1.393868, 0.2815613, 2.647281, 0.5814995, 0.2120406, 0.7251762, 7.076551, 6.739707, 0.003743536
1084.496197325039, 8.443448, 3.586493e-05, 3.197764, 0.3640062, 2.508883, 0.2841209, 0.1922476, 4.214062, 2.053133, 1.327005, 0.2581313, 2.489902, 0.5475541, 0.2013798, 1.000343, 6.710578, 15.79434, 0.003517001
